date,AAPL,AMZN,MSFT,NVDA,LLY,GOOGL
01.04.2025,222.9150443023,192.17,381.4912210327,110.1422885746,803.6384056978,156.8829058423
02.04.2025,223.6141819474,196.01,381.4413124504,110.4122696724,816.6027300399,156.8529415769
03.04.2025,202.9396830135,178.41,372.4278224954,101.7928731448,787.5303075545,150.540469654
04.04.2025,188.1479279792,171.0,359.1820847652,94.3033975077,736.7508754892,145.4265683494
07.04.2025,181.2364529732,175.26,357.2057049079,97.6331643797,722.2994962379,146.5751985252
08.04.2025,172.2075896707,170.66,353.9117384792,96.293258191,724.8045350446,144.5276403857
09.04.2025,198.6050296138,191.1,389.7760456868,114.3219959395,752.220238638,158.5209523539
10.04.2025,190.1854148306,181.22,380.6527568508,107.5624691963,719.4850701683,152.637968236
11.04.2025,197.9058919687,184.87,387.7397755309,110.9222339681,730.9623396013,156.9528224617
14.04.2025,202.2705084103,182.12,387.100945678,110.7022493699,752.8589736325,158.8805235394
15.04.2025,201.8909765458,179.59,385.0247486563,112.1921450574,755.6833799365,156.1238111174
16.04.2025,194.0306718787,174.33,370.9305650278,104.4826848222,733.4474179394,153.1473607487
17.04.2025,196.7373333333,172.61,367.1075676271,101.4828948474,838.2997593854,150.9799455474
21.04.2025,192.9220393272,167.32,358.4634011807,96.9032154859,816.4031253541,147.4941026659
22.04.2025,199.4939331912,173.18,366.1493228478,98.8830768692,825.9043083978,151.2895762904
23.04.2025,204.3479459844,180.6,373.7054822011,102.7028094371,827.7805924442,155.1649546228
24.04.2025,208.1133015873,186.54,386.591878139,106.4225490059,858.0306825759,159.0902733976
25.04.2025,209.0221805259,188.99,391.1335591242,111.0022283674,882.7916438483,161.7670811117
28.04.2025,209.8811210614,187.7,390.444820689,108.7223879866,875.5559739883,160.4186891662
29.04.2025,210.9498028903,187.39,393.3195550269,109.0123676841,883.4503393114,159.9692251843
30.04.2025,212.2382136934,184.42,394.5373244339,108.912374685,897.1731614595,158.6108451503
01.05.2025,213.0572035063,190.2,424.6222178165,111.6021863624,792.5304049335,161.1078672717
02.05.2025,205.0970220327,189.98,434.4841536699,114.4919840381,821.9920565563,163.8346154282
05.05.2025,198.6449803364,186.35,435.372526434,113.8120316438,819.8363259497,164.014401021
06.05.2025,198.2654484719,185.01,432.5177555291,113.5320512462,773.5879202519,163.0355683494
07.05.2025,196.0082326463,188.71,432.5576823949,117.0518048166,775.1847577383,151.199683494
08.05.2025,197.2467050462,192.08,437.3688697242,117.361783114,749.9647056886,154.0962291548
09.05.2025,198.2854238332,193.06,437.9278458454,116.64183352,733.1180702078,152.5680516166
12.05.2025,210.79,208.64,448.4385932681,122.9913889667,754.0765622159,158.2712501418
13.05.2025,212.93,211.37,448.3188126707,129.9209038085,744.5853594065,159.3399756098
14.05.2025,212.33,210.25,452.111864922,135.330525063,714.1456448234,165.1730192853
15.05.2025,211.45,205.17,453.13,134.8205607673,731.8406002187,163.7646988088
16.05.2025,211.26,205.59,454.27,135.3905208625,757.39,165.9920425411
19.05.2025,208.78,206.16,458.87,135.5605089611,755.11,166.3416256381
20.05.2025,206.86,204.07,458.17,134.3705922711,747.01,163.7846749858
21.05.2025,202.09,201.12,452.57,131.7907728927,724.95,168.3592195122
22.05.2025,201.36,203.1,454.86,132.8207007841,715.2,170.6664679524
23.05.2025,195.27,200.99,450.18,131.280808597,713.71,168.2693267158
27.05.2025,200.21,206.02,460.69,135.4905138617,725.22,172.6940499149
28.05.2025,200.42,204.72,457.36,134.8005621675,719.39,172.1546931367
29.05.2025,199.95,205.7,458.68,139.1802555307,722.57,171.6552887124
30.05.2025,200.85,205.01,460.36,135.1205397648,737.67,171.5354316506
02.06.2025,201.7,206.65,461.97,137.3703822459,747.12,168.828659671
03.06.2025,203.27,205.71,462.97,141.2101134136,750.78,165.9820544526
04.06.2025,202.82,207.23,463.87,141.9100644077,765.84,167.8498269994
05.06.2025,200.63,207.91,467.68,139.9801995239,765.68,168.0096364152
06.06.2025,203.92,213.57,470.38,141.7100784094,769.88,173.4731208168
09.06.2025,201.45,216.98,472.75,142.6200147018,773.71,176.09
10.06.2025,202.67,217.61,470.92,143.9499215906,807.19,178.6
11.06.2025,198.78,213.2,472.62,142.83,808.61,177.35
12.06.2025,199.2,213.24,478.87,145.0,812.03,175.7
13.06.2025,196.45,212.1,474.96,141.97,819.36,174.67
16.06.2025,198.42,216.1,479.14,144.69,807.58,176.77
17.06.2025,195.64,214.82,478.04,144.12,791.24,175.95
18.06.2025,196.58,212.52,480.24,145.48,785.03,173.32
20.06.2025,201.0,209.69,477.4,143.85,762.73,166.64
23.06.2025,201.5,208.47,486.0,144.17,770.64,165.19
24.06.2025,200.3,212.77,490.11,147.9,778.08,166.77
25.06.2025,201.56,211.99,492.27,154.31,792.3,170.68
26.06.2025,201.0,217.12,497.45,155.02,795.12,173.54
27.06.2025,201.08,223.3,495.94,157.75,775.45,178.53
30.06.2025,205.17,219.39,497.41,157.99,779.53,176.23
01.07.2025,207.82,220.46,492.05,153.3,775.9,175.84
02.07.2025,212.44,219.92,491.09,157.25,779.28,178.64
03.07.2025,213.55,223.41,498.84,159.34,780.67,179.53
07.07.2025,209.95,223.47,497.72,158.24,772.87,176.79
08.07.2025,210.01,219.36,496.62,160.0,777.66,174.36
09.07.2025,211.14,222.54,503.51,162.88,786.92,176.62
10.07.2025,212.41,222.26,501.48,164.1,790.65,177.62
11.07.2025,211.16,225.02,503.32,164.92,793.01,180.19
14.07.2025,208.62,225.69,503.02,164.07,799.34,181.56
15.07.2025,209.11,226.35,505.82,170.7,771.75,182.0
16.07.2025,210.16,223.19,505.62,171.37,789.8,182.97
17.07.2025,210.02,223.88,511.7,173.0,761.5,183.58
18.07.2025,211.18,226.13,510.05,172.41,771.71,185.06
